Youtuber,Subscribers,Video Views,Category,Title,Uploads,Country,Abbreviation,Channel Type,Video Views Rank,Country Rank,Channel Type Rank,Video Views For The Last 30 Days,Lowest Monthly Earnings,Highest Monthly Earnings,Lowest Yearly Earnings,Highest Yearly Earnings,Subscribers For Last 30 Days,Created Year,Created Month,Created Date,Gross Tertiary Education Enrollment (%),Population,Unemployment Rate,Urban Population,Latitude,Longitude
The Game Theorists,17600000,3752347262,Gaming,TheGameTheorists,0,Australia,AU,Unknown,3612215,6095,0,0,0.0,0.0,0.0,0.0,0,0,Unknown,0.0,113.1,25766605,5.27,21844756,-25.274398,133.775136
DeGoBooM,17600000,6306204566,Gaming,DeGoBooM,4702,Chile,CL,Games,973,3,36,100215000,25100.0,400900.0,300600.0,4800000.0,500000,2014,Feb,1.0,88.5,18952038,7.09,16610135,-35.675147,-71.542969
JFlaMusic,17600000,3802280098,Music,JFlaMusic,326,South Korea,KR,Music,2056,12,109,11099000,2800.0,44400.0,33300.0,532700.0,0,2011,Aug,22.0,94.3,51709098,4.15,42106719,35.907757,127.766922
FactTechz,17500000,2238134438,Entertainment,FactTechz,709,India,IN,Entertainment,4243,86,124,21056000,5300.0,84200.0,63200.0,1000000.0,0,2016,Jul,24.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
News18 India,17500000,7263619576,News & Politics,News18 India,182742,India,IN,News,770,85,10,394106000,98500.0,1600000.0,1200000.0,18900000.0,700000,2007,Oct,25.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Fun For Kids TV - Hindi Rhymes,17500000,7612385622,Entertainment,Fun For Kids TV - Hindi Rhymes,149,India,IN,Entertainment,723,86,124,109847000,27500.0,439400.0,329500.0,5300000.0,300000,2017,Sep,27.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
IGN,17500000,16107116549,Gaming,IGN,156215,United States,US,Games,189,129,37,98342000,24600.0,393400.0,295000.0,4700000.0,0,2006,Sep,19.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Aphmau,17400000,17763586483,Gaming,Aphmau,4411,United States,US,Games,152,129,37,439870000,110000.0,1800000.0,1300000.0,21100000.0,400000,2012,Aug,13.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
AMARINTV,17400000,13043561912,Entertainment,AMARINTV  ,118448,Thailand,TH,News,286,8,11,235993000,59000.0,944000.0,708000.0,11300000.0,200000,2014,Feb,5.0,49.3,69625582,0.75,35294600,15.870032,100.992541
- Al-Remas,17400000,11144195464,Music, - Al-Remas,2133,Iraq,IQ,Music,371,1,110,113003000,28300.0,452000.0,339000.0,5400000.0,0,2013,Sep,27.0,16.2,39309783,12.82,27783368,33.223191,43.679291
Koray Zeynep,17400000,16560557488,People & Blogs,Koray Zeynep,2078,Unknown,Unknown,People,173,0,31,426389000,106600.0,1700000.0,1300000.0,20500000.0,400000,2016,Jul,8.0,0.0,0,0.0,0,,
Apple,17300000,1026425106,Science & Technology,Apple,180,United States,US,Tech,11274,130,9,46484000,11600.0,185900.0,139500.0,2200000.0,100000,2005,Jun,22.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Stubborn Facts,17300000,902225615,Film & Animation,Stubborn Facts,287,India,IN,Entertainment,13315,87,125,837850,209.0,3400.0,2500.0,40200.0,0,2016,Sep,5.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Taarak Mehta Ka Ooltah Chashmah,17300000,11371738047,Entertainment,Taarak Mehta Ka Ooltah Chashmah,4778,India,IN,Entertainment,356,87,125,331944000,83000.0,1300000.0,995800.0,15900000.0,300000,2014,Aug,4.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
HowToBasic,17300000,3684816159,Howto & Style,HowToBasic,582,Australia,AU,Howto,2146,6,17,15525000,3900.0,62100.0,46600.0,745200.0,0,2011,Dec,8.0,113.1,25766605,5.27,21844756,-25.274398,133.775136
PopularMMOs,17200000,14573155899,Gaming,PopularMMOs,4685,Unknown,Unknown,Games,240,0,38,15296000,3800.0,61200.0,45900.0,734200.0,100000,2012,Apr,17.0,0.0,0,0.0,0,,
Marques Brownlee,17200000,3606912471,Science & Technology,Marques Brownlee,1567,United States,US,Tech,2196,131,10,52325000,13100.0,209300.0,157000.0,2500000.0,100000,2008,Mar,21.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Anitta,17200000,7337212581,Music,Anitta,138,Brazil,BR,Music,769,28,111,72684000,18200.0,290700.0,218100.0,3500000.0,0,2011,Nov,2.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
Jason Vlogs,17200000,8903647480,Education,Jason Oo,83,Australia,AU,People,4031958,3450,7408,25,0.01,0.1,0.08,1.0,0,2014,Sep,11.0,113.1,25766605,5.27,21844756,-25.274398,133.775136
El Reino a Jugar,17200000,11445492404,Education,El Reino a Jugar,1007,Argentina,AR,Education,353,11,28,83709000,20900.0,334800.0,251100.0,4000000.0,100000,2015,Mar,3.0,90.0,44938712,9.79,41339571,-38.416097,-63.616672
Willyrex,17200000,5024088947,Gaming,Willyrex,7550,Spain,ES,Games,1359,9,38,15405000,3900.0,61600.0,46200.0,739500.0,0,2009,Aug,9.0,88.9,47076781,13.96,37927409,40.463667,-3.74922
TheBrianMaps,17100000,4448334716,Comedy,TheBrianMaps,498,Russia,RU,Entertainment,1624,6,126,37164000,9300.0,148700.0,111500.0,1800000.0,100000,2012,Jun,4.0,81.9,144373535,4.59,107683889,61.52401,105.318756
TRANS TV Official,17100000,9710962528,Entertainment,TRANS TV Official,148225,Indonesia,ID,Entertainment,472,18,127,45811000,11500.0,183200.0,137400.0,2200000.0,100000,2014,Sep,2.0,36.3,270203917,4.69,151509724,-0.789275,113.921327
Liza Koshy,17100000,2173106162,Comedy,Liza Koshy,142,United States,US,Entertainment,4443,132,127,1761000,440.0,7000.0,5300.0,84500.0,0,2013,Sep,2.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Queen Official,17000000,10847948832,Music,Queen Official,1015,United Kingdom,GB,Music,385,21,112,93768000,23400.0,375100.0,281300.0,4500000.0,100000,2008,Jul,7.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
Prajapati News,17000000,1001465469,Comedy,Prajapati News,1407,India,IN,Entertainment,11662,89,128,7626000,1900.0,30500.0,22900.0,366100.0,100000,2013,Mar,14.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Gaby and Alex,17000000,8229883114,Entertainment,gabyandalex,1,Unknown,Unknown,People,4057752,0,7732,0,0.0,0.0,0.0,0.0,0,2008,Aug,21.0,0.0,0,0.0,0,,
LuisFonsiVEVO,17000000,14543594822,Music,LuisFonsiVEVO,97,United States,US,Music,241,133,112,49817000,12500.0,199300.0,149500.0,2400000.0,0,2009,May,12.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Pop Chartbusters,16900000,8684010451,Music,Pop Chartbusters,2235,India,IN,Music,574,90,113,72911000,18200.0,291600.0,218700.0,3500000.0,200000,2011,Aug,26.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Guava Juice,16900000,9111000228,Gaming,Guava Juice,1910,United States,US,Entertainment,527,134,129,10889000,2700.0,43600.0,32700.0,522600.0,0,2006,Jul,18.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
EeOneGuy,16900000,3827906874,Entertainment,EeOneGuy,366,United States,US,Entertainment,2039,134,129,1635000,409.0,6500.0,4900.0,78500.0,0,2013,Mar,19.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
VICE,16900000,4609753237,Entertainment,VICE,3900,United States,US,Entertainment,1543,134,129,36357000,9100.0,145400.0,109100.0,1700000.0,100000,2005,Dec,16.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Aayu and Pihu Show,16900000,9270331567,Comedy,Aayu and Pihu Show,441,India,IN,People,510,90,34,89782000,22400.0,359100.0,269300.0,4300000.0,0,2017,May,8.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Danny Fitt,16900000,9544277833,People & Blogs,Danny Fitt,2337,United States,US,Entertainment,488,134,129,275264000,68800.0,1100000.0,825800.0,13200000.0,700000,2016,Dec,31.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Bispo Bruno Leonardo,16900000,3523578665,Nonprofits & Activism,Bispo Bruno Leonardo,4891,Brazil,BR,Nonprofit,2307,29,2,149543000,37400.0,598200.0,448600.0,7200000.0,400000,2016,Apr,10.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
DeToxoMoroxo,16800000,2315962318,Entertainment,de toxomoroxo,1,Unknown,Unknown,Music,4056488,0,5767,0,0.0,0.0,0.0,0.0,0,2016,Apr,30.0,0.0,0,0.0,0,,
Doggy Doggy Cartoons,16800000,6518418501,Entertainment,Doggy Doggy Cartoons,0,Unknown,Unknown,Unknown,4057944,0,0,0,0.0,0.0,0.0,0.0,0,2018,Nov,11.0,0.0,0,0.0,0,,
deepesh zo,16800000,7206462713,People & Blogs,deepesh zo,41,Unknown,Unknown,People,4038822,0,7611,1,0.0,0.0,0.0,0.05,1,2021,Sep,24.0,0.0,0,0.0,0,,
Like Nastya IDN,16800000,7195314800,Entertainment,Like Nastya IDN,502,Indonesia,ID,Entertainment,795,19,130,42836000,10700.0,171300.0,128500.0,2100000.0,100000,2019,Nov,22.0,36.3,270203917,4.69,151509724,-0.789275,113.921327
Gato Galactico  GAL,16800000,3693798804,Film & Animation,Gato Galactico  GAL,1491,Brazil,BR,Entertainment,2129,30,130,44121000,11000.0,176500.0,132400.0,2100000.0,100000,2013,Apr,2.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
Salman Noman,16700000,10393037902,Entertainment,salman Noman,3,Unknown,Unknown,Unknown,4057674,0,0,7,0.0,0.03,0.02,0.34,10,2022,May,14.0,0.0,0,0.0,0,,
CoryxKenshin,16700000,7102965621,Gaming,CoryxKenshin,1693,United States,US,Games,814,135,39,105114000,26300.0,420500.0,315300.0,5000000.0,200000,2009,Apr,27.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
With Kids,16700000,8826138204,Entertainment,With Kids,920,United States,US,Entertainment,559,135,130,45698000,11400.0,182800.0,137100.0,2200000.0,100000,2012,Jul,6.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Travis Scott,16700000,7979736581,Music,Travis Scott,13,United States,US,Music,564542,1920,1751,37623,9.0,150.0,113.0,1800.0,0,2010,Sep,1.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Tu COSMOPOLIS,16700000,5089284369,People & Blogs,Tu COSMOPOLIS,8741,Mexico,MX,People,1337,19,35,16139000,4000.0,64600.0,48400.0,774700.0,0,2014,Aug,28.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
Ivana Alawi,16600000,1318442641,Unknown,Ivana Alawi,180,Philippines,PH,People,8338,5,36,15079000,3800.0,60300.0,45200.0,723800.0,100000,2018,Jun,1.0,35.5,108116615,2.15,50975903,12.879721,121.774017
Werever2morro,16600000,2798273962,Entertainment,werever2morro,0,Mexico,MX,Games,4057944,4248,7462,0,0.0,0.0,0.0,0.0,0,2010,Dec,7.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
IDEAS EN 5 MINUTOS,16600000,3696973456,Howto & Style,Ideas En 5 Minutos,216,Spain,ES,Unknown,3108857,2753,0,65470,16.0,262.0,196.0,3100.0,0,2017,Apr,2.0,88.9,47076781,13.96,37927409,40.463667,-3.74922
NMF News,16600000,7435180827,News & Politics,NMF News,112261,India,IN,News,749,91,12,59201000,14800.0,236800.0,177600.0,2800000.0,100000,2013,Oct,22.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
SriBalajiMovies,16600000,9439857193,Entertainment,SriBalajiMovies,20102,India,IN,Entertainment,497,91,132,154049000,38500.0,616200.0,462100.0,7400000.0,200000,2011,Sep,29.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Lahari Music - TSeries,16600000,11946217860,Music,Lahari Music - TSeries,8976,India,IN,Music,326,91,115,89012000,22300.0,356000.0,267000.0,4300000.0,100000,2011,Nov,21.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Younes Zarou,16600000,15278668857,Entertainment,Younes Zarou,2200,Germany,DE,Entertainment,213,4,131,617257000,154300.0,2500000.0,1900000.0,29600000.0,900000,2021,May,6.0,70.2,83132799,3.04,64324835,51.165691,10.451526
Jordan Matter,16600000,5819508534,Entertainment,Jordan Matter,413,United States,US,Entertainment,1088,136,132,199033000,49800.0,796100.0,597100.0,9600000.0,300000,2006,Dec,21.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
FailArmy,16500000,3037260680,Comedy,FailArmy,438,United States,US,Entertainment,2766,137,133,112986000,28200.0,451900.0,339000.0,5400000.0,100000,2011,Jul,5.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
BBC News Hindi,16500000,7043235131,News & Politics,BBC News Hindi,21243,India,IN,News,821,92,13,131202000,32800.0,524800.0,393600.0,6300000.0,300000,2009,Sep,22.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
FunFun Toy Doll TV,16500000,7406207930,Entertainment,FunFun Toy Doll TV,735,United States,US,Entertainment,757,137,133,24378000,6100.0,97500.0,73100.0,1200000.0,0,2016,May,31.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Sandra Cires Art,16400000,3955426159,Howto & Style,Sandra Cires Art,1091,United States,US,Entertainment,1938,138,134,18028000,4500.0,72100.0,54100.0,865300.0,0,2011,Sep,27.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Kaykai Salaider,16400000,4434679706,Comedy,Kaykai Salaider,428,Thailand,TH,Entertainment,1636,9,134,9341000,2300.0,37400.0,28000.0,448400.0,0,2011,Jan,24.0,49.3,69625582,0.75,35294600,15.870032,100.992541
UFC - Ultimate Fighting Championship,16400000,7135820721,Sports,UFC - Ultimate Fighting Championship,14662,United States,US,Sports,806,138,7,133208000,33300.0,532800.0,399600.0,6400000.0,100000,2006,Mar,4.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Ch7HD,16400000,9463244435,Entertainment,Ch7HD,56203,Thailand,TH,Entertainment,496,9,134,87757000,21900.0,351000.0,263300.0,4200000.0,100000,2010,May,17.0,49.3,69625582,0.75,35294600,15.870032,100.992541
RCTI - LAYAR DRAMA INDONESIA,16400000,13478392540,Entertainment,RCTI - LAYAR DRAMA INDONESIA,1,Unknown,Unknown,People,4057943,0,7724,0,0.0,0.0,0.0,0.0,0,2020,Oct,19.0,0.0,0,0.0,0,,
Alfredo Larin,16400000,14431830557,Entertainment,Alfredo Larin,1,Unknown,Unknown,Entertainment,4057780,0,6788,1,0.0,0.0,0.0,0.05,0,2015,Nov,23.0,0.0,0,0.0,0,,
GMMTV OFFICIAL,16400000,12844432341,Entertainment,GMMTV OFFICIAL,23952,Thailand,TH,Entertainment,294,9,134,181382000,45300.0,725500.0,544100.0,8700000.0,200000,2010,Sep,13.0,49.3,69625582,0.75,35294600,15.870032,100.992541
Matt Stonie,16300000,3527627264,Entertainment,MattStonie,54,United States,US,Entertainment,283499,1874,1836,29735,7.0,119.0,89.0,1400.0,0,2010,Jun,19.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Boyce Avenue,16300000,6578828147,Music,Boyce Avenue,490,United States,US,Music,913,139,117,28787000,7200.0,115100.0,86400.0,1400000.0,0,2007,Sep,2.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Camila Cabello,16300000,6613422635,Music,Camila Cabello,80,United States,US,Music,906,139,117,42704000,10700.0,170800.0,128100.0,2000000.0,100000,2015,Aug,11.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Little Mix,16300000,7520242626,Music,Little Mix,278,United Kingdom,GB,Music,740,22,117,38604000,9700.0,154400.0,115800.0,1900000.0,0,2011,Nov,30.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
SAM SMITH,16300000,10170264839,Music,SAM SMITH,230,United Kingdom,GB,Entertainment,428,22,135,85778000,21400.0,343100.0,257300.0,4100000.0,0,2012,Sep,14.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
Pitbull,16300000,12475714382,Music,Pitbull,352,United States,US,Music,308,139,117,88004000,22000.0,352000.0,264000.0,4200000.0,0,2006,Jul,5.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Bollywood Classics,16300000,7141825267,Entertainment,Bollywood Classics,1444,India,IN,Music,804,93,116,151477000,37900.0,605900.0,454400.0,7300000.0,300000,2011,Oct,13.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Technoblade,16300000,1656452554,Gaming,Technoblade,989,United States,US,Games,6274,138,40,17944000,4500.0,71800.0,53800.0,861300.0,200000,2013,Oct,28.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
W2S,16300000,4768370464,Gaming,W2S,652,United Kingdom,GB,Entertainment,1455,22,135,3079000,770.0,12300.0,9200.0,147800.0,0,2012,Jul,26.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
Jennifer Lopez,16200000,10227242833,Music,Jennifer Lopez,258,United States,US,Music,426,140,118,63441000,15900.0,253800.0,190300.0,3000000.0,0,2005,Nov,18.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Kids Play,16200000,8091706232,Entertainment,Kids Play,593,United States,US,Entertainment,636,140,136,25912000,6500.0,103600.0,77700.0,1200000.0,0,2018,May,14.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
T3ddy,16200000,2990185467,Comedy,T3ddy,1930,Brazil,BR,People,2898,31,38,33015000,8300.0,132100.0,99000.0,1600000.0,100000,2012,Jan,16.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
JJ Olatunji,16200000,4076692623,Gaming,JJ Olatunji,1294,United Kingdom,GB,Entertainment,1856,23,136,27808000,7000.0,111200.0,83400.0,1300000.0,100000,2011,Jan,26.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
POPS Kids,16200000,9763592867,Music,POPS Kids,3943,Vietnam,VN,Film,462,2,30,256733000,64200.0,1000000.0,770200.0,12300000.0,200000,2014,Jan,14.0,28.5,96462106,2.01,35332140,14.058324,108.277199
Thairath Online,16200000,14563841315,News & Politics,Thairath Online,244899,Thailand,TH,News,238,10,14,224756000,56200.0,899000.0,674300.0,10800000.0,100000,2010,Sep,27.0,49.3,69625582,0.75,35294600,15.870032,100.992541
LEGO,16200000,20522339099,Entertainment,LEGO,31889,Singapore,SG,Entertainment,116,1,136,117209000,29300.0,468800.0,351600.0,5600000.0,200000,2005,Oct,22.0,84.8,5703569,4.11,5703569,1.352083,103.819836
XO TEAM,16200000,14784781923,People & Blogs,XO TEAM Family,189,United States,US,People,153622,1776,1495,37911,9.0,152.0,114.0,1800.0,1000,2020,Sep,12.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
AdMe,16200000,4488680903,Entertainment,Aday C,10,Spain,ES,Music,4048675,4228,5766,4,0.0,0.02,0.01,0.19,0,2006,May,2.0,88.9,47076781,13.96,37927409,40.463667,-3.74922
ExtraPolinesios,16200000,4813127504,People & Blogs,Extra polinesios,2,Unknown,Unknown,People,3945744,0,7359,510,0.13,2.0,2.0,24.0,1,2015,Nov,21.0,0.0,0,0.0,0,,
Dyland PROS,16100000,1517638132,Entertainment,Dyland PROS,2805,Indonesia,ID,Games,6986,21,41,9619000,2400.0,38500.0,28900.0,461700.0,0,2015,Jan,28.0,36.3,270203917,4.69,151509724,-0.789275,113.921327
Vlad and Niki ARA,16100000,7399296005,Unknown,Vlad and Niki ARA,510,United States,US,Entertainment,759,141,137,32011000,8000.0,128000.0,96000.0,1500000.0,100000,2019,May,24.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Canal IN,16100000,2687443643,People & Blogs,Canal IN,723,Brazil,BR,Entertainment,3338,32,137,13802000,3500.0,55200.0,41400.0,662500.0,0,2017,Jul,21.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
TWICE,16100000,5055576881,Music,TWICE,1123,Unknown,Unknown,Music,1343,0,119,98720000,24700.0,394900.0,296200.0,4700000.0,100000,2016,Mar,27.0,0.0,0,0.0,0,,
Daily Dose Of Internet,16100000,6872702790,Entertainment,Daily Dose Of Internet,671,United States,US,Entertainment,851,140,136,399807000,100000.0,1600000.0,1200000.0,19200000.0,300000,2015,Jul,15.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
FitDance,16100000,7126210721,Music,Fitdance Academy,41,France,FR,Entertainment,4006012,3726,6335,780,0.2,3.0,2.0,37.0,4,2006,Nov,20.0,65.6,67059887,8.43,54123364,46.227638,2.213749
Panda Shorts,16100000,7155736006,Unknown,Panda Shorts,667,Sweden,SE,Sports,792,2,8,478528000,119600.0,1900000.0,1400000.0,23000000.0,3000000,2020,Nov,21.0,67.0,10285453,6.48,9021165,60.128161,18.643501
Disney Junior,16100000,15812009296,Entertainment,Disney Junior,4045,United States,US,Entertainment,196,140,136,267131000,66800.0,1100000.0,801400.0,12800000.0,300000,2008,Apr,22.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
La Rosa de Guadalupe,16100000,9642146451,Entertainment,larosadeguadalupe,0,Mexico,MX,Games,4057944,4258,7472,0,0.0,0.0,0.0,0.0,0,2008,Sep,3.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
sagar kalra Shorts,16000000,6543629679,People & Blogs,sagar kalra Shorts,453,Unknown,Unknown,People,921,0,39,74062000,18500.0,296200.0,222200.0,3600000.0,200000,2017,Jun,30.0,0.0,0,0.0,0,,
wifistudy,16000000,3018032423,Education,wifistudy by Unacademy,52144,India,IN,Education,2855,94,30,14287000,3600.0,57100.0,42900.0,685800.0,0,2014,Jul,26.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Antrax,16000000,3029872908,Gaming,Antrax,687,Mexico,MX,Games,2844,23,42,4698000,1200.0,18800.0,14100.0,225500.0,0,2015,May,25.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
Enes Batur,16000000,9786595271,Gaming,enesbatur,0,Unknown,Unknown,Games,4057944,0,7360,0,0.0,0.0,0.0,0.0,11,2007,Mar,4.0,0.0,0,0.0,0,,
Totoy kids - Espa,16000000,5997599089,Film & Animation,Totoy kids - Espa,344,Mexico,MX,Film,1048,23,31,112393000,28100.0,449600.0,337200.0,5400000.0,200000,2017,Sep,7.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
DopeLyrics,15900000,9962188084,Music,DopeLyrics,2035,United States,US,Music,444,142,120,9915000,2500.0,39700.0,29700.0,475900.0,0,2016,Jun,9.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
jeffreestar,15900000,2609358468,Howto & Style,jeffreestar,433,United States,US,Howto,3474,142,20,2006000,502.0,8000.0,6000.0,96300.0,0,2006,Feb,14.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Lyna,15900000,6534326412,Gaming,Lyna,4906,Argentina,AR,Games,919,12,43,64085000,16000.0,256300.0,192300.0,3100000.0,200000,2014,Sep,8.0,90.0,44938712,9.79,41339571,-38.416097,-63.616672
MK MUSIC,15900000,9198986881,Music,MK MUSIC,5105,Brazil,BR,Music,516,33,120,136388000,34100.0,545600.0,409200.0,6500000.0,100000,2010,Jan,18.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
Unspeakable,15900000,9052367553,Gaming,Unspeakable,796,United States,US,People,530,142,40,164895000,41200.0,659600.0,494700.0,7900000.0,200000,2016,May,1.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Camilo,15900000,6802382479,Music,Camilo,132,Colombia,CO,Music,871,8,120,59890000,15000.0,239600.0,179700.0,2900000.0,100000,2010,Jul,29.0,55.3,50339443,9.71,40827302,4.570868,-74.297333
Dear Sir,15800000,1349288771,Education,Dear Sir,633,India,IN,Education,8066,95,31,24056000,6000.0,96200.0,72200.0,1200000.0,200000,2016,Dec,13.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Narendra Modi,15800000,3392918989,News & Politics,Narendra Modi,20679,India,IN,News,2406,96,15,185969000,46500.0,743900.0,557900.0,8900000.0,700000,2007,Oct,26.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Arif muhammad,15800000,4122634467,People & Blogs,Arif muhammad,542,Indonesia,ID,Comedy,1816,22,26,71870000,18000.0,287500.0,215600.0,3400000.0,100000,2017,Jan,18.0,36.3,270203917,4.69,151509724,-0.789275,113.921327
Rotten Tomatoes Trailers,15800000,13116313599,Film & Animation,Rotten Tomatoes Trailers,10441,United States,US,Film,285,143,32,25738000,6400.0,103000.0,77200.0,1200000.0,100000,2011,Apr,1.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Volga Video,15700000,9787697838,Film & Animation,Volga Video,16874,India,IN,Entertainment,463,97,139,51315000,12800.0,205300.0,153900.0,2500000.0,0,2012,Mar,23.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
DM - Desi Melodies,15700000,5914071870,Music,DM - Desi Melodies,79,India,IN,Music,1071,97,121,141842000,35500.0,567400.0,425500.0,6800000.0,300000,2017,Jul,8.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
MY FAMILY,15700000,6153495609,Unknown,My Family,150,Singapore,SG,People,731590,1203,3244,939647,235.0,3800.0,2800.0,45100.0,800,2019,Dec,3.0,84.8,5703569,4.11,5703569,1.352083,103.819836
Team Films Bhojpuri,15700000,6626563508,Music,Team Films Bhojpuri,19703,India,IN,Music,902,97,121,30744000,7700.0,123000.0,92200.0,1500000.0,0,2014,Jul,18.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Zee Music Classic,15700000,5558051295,Music,Zee Music Classic,1640,India,IN,Music,1174,97,121,86450000,21600.0,345800.0,259300.0,4100000.0,100000,2014,May,20.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Prime Video India,15700000,8696631898,Entertainment,Prime Video India,7090,United States,US,Entertainment,569,144,139,335111000,83800.0,1300000.0,1000000.0,16100000.0,1200000,2016,Oct,3.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Caeli YT,15600000,1511794214,Entertainment,Caeli YT,483,Mexico,MX,Entertainment,7440,24,140,62551000,0.0,0.0,0.0,0.0,0,2010,Sep,22.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
Kuplinov,15600000,6862529416,Gaming,Kuplinov ,6623,Unknown,Unknown,Games,863,0,44,98660000,24700.0,394600.0,296000.0,4700000.0,200000,2012,Dec,23.0,0.0,0,0.0,0,,
Linus Tech Tips,15600000,7172386509,Science & Technology,Linus Tech Tips,6542,Canada,CA,Tech,802,7,11,88224000,22100.0,352900.0,264700.0,4200000.0,100000,2008,Nov,25.0,68.9,36991981,5.56,30628482,56.130366,-106.346771
Juliana Baltar,15600000,3869457097,Entertainment,Juliana Baltar,2019,Brazil,BR,Entertainment,2002,34,140,56218000,14100.0,224900.0,168700.0,2700000.0,100000,2010,May,9.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
5-Minute Crafts FAMILY,15600000,6165757696,People & Blogs,5-Minute Crafts FAMILY,4245,United States,US,Howto,1005,145,21,27382000,6800.0,109500.0,82100.0,1300000.0,0,2018,Dec,13.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Blippi Espa,15500000,8984089026,People & Blogs,Blippi Espa,598,Mexico,MX,Education,538,24,32,90012000,22500.0,360000.0,270000.0,4300000.0,100000,2017,Jan,13.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
Super Senya,15500000,5070970714,Entertainment,Super Senya,0,Unknown,Unknown,Unknown,4057944,0,0,0,0.0,0.0,0.0,0.0,0,2017,Jul,27.0,0.0,0,0.0,0,,
Katakit Baby TV,15500000,6386271870,Music,Katakit Baby TV,220,Saudi Arabia,SA,Music,954,4,122,90914000,22700.0,363700.0,272700.0,4400000.0,200000,2010,Jul,26.0,68.0,34268528,5.93,28807838,23.885942,45.079162
