,name,rating,card_type,position,nation,league,team,PAC,SHO,PAS,DRI,DEF,PHY
83,Chuba Akpom,94,team-of-the-season,CAM,England,EFL Championship,Middlesbrough,94,95,82,93,50,95
84,Josh Brownhill,94,team-of-the-season,CAM,England,EFL Championship,Burnley,86,83,92,94,90,90
85,Heung Min Son,94,team-of-the-season-moments,LW,Korea Republic,Premier League,Spurs,93,95,89,92,47,77
86,Casemiro,94,team-of-the-season,CDM,Brazil,Premier League,Manchester Utd,84,80,82,80,92,97
87,Raphaël Varane,94,team-of-the-season-moments,CB,France,Premier League,Manchester Utd,90,58,73,82,95,93
88,Frank Lampard,94,special-item,CM,England,Icons,Icons,85,93,91,90,80,89
89,Michael Owen,94,special-item,ST,England,Icons,Icons,93,92,77,91,37,74
90,Steven Gerrard,94,special-item,CM,England,Icons,Icons,82,93,93,89,80,87
91,Kenny Dalglish,94,special-item,ST,Scotland,Icons,Icons,92,94,79,92,43,76
92,Dennis Bergkamp,94,special-item,CF,Netherlands,Icons,Icons,88,94,88,93,39,82
93,Fernando Torres,94,special-item,ST,Spain,Icons,Icons,95,92,82,91,48,80
94,Kevin De Bruyne,94,team-of-the-week,CM,Belgium,Premier League,Manchester City,79,91,96,90,70,81
95,Eusébio,94,fut-birthday-icon,CF,Portugal,Icons,Icons,94,94,87,94,46,80
96,Lothar Matthäus,94,fut-birthday-icon,CM,Germany,Icons,Icons,90,90,92,84,91,86
97,George Best,94,fut-birthday-icon,RW,Northern Ireland,Icons,Icons,94,92,85,95,60,73
98,Eric Cantona,94,fut-birthday-icon,CF,France,Icons,Icons,89,93,92,93,53,93
99,Alexis Sánchez,94,fantasy-fut,CF,Chile,Ligue 1 Uber Eats,OM,92,92,93,98,58,86
100,Alessandro Nesta,94,toty-icon,CB,Italy,Icons,Icons,80,46,71,73,95,90
101,Theo Hernández,94,team-of-the-year,LB,France,Serie A TIM,Milan,98,80,88,90,88,92
102,Achraf Hakimi,94,team-of-the-year,RB,Morocco,Ligue 1 Uber Eats,Paris SG,99,81,90,91,90,91
103,Éder Militão,94,team-of-the-year,CB,Brazil,LaLiga Santander,Real Madrid,90,60,81,83,95,92
104,Ruud Gullit,94,toty-icon,CF,Netherlands,Icons,Icons,87,93,93,90,84,91
105,David Beckham,94,toty-icon,RM,England,Icons,Icons,91,88,96,91,70,83
106,Gerd Müller,94,icon,ST,Germany,Icons,Icons,88,94,77,88,43,76
107,Ronaldinho,94,icon,LW,Brazil,Icons,Icons,92,90,91,95,37,81
108,Paolo Maldini,94,icon,CB,Italy,Icons,Icons,86,56,75,69,96,83
109,Garrincha,94,icon,RW,Brazil,Icons,Icons,90,87,94,96,41,68
110,Johan Cruyff,94,icon,CF,Netherlands,Icons,Icons,91,92,91,94,42,73
111,Ferenc Puskás,94,icon,CF,Hungary,Icons,Icons,91,96,91,92,46,76
112,Lionel Messi,94,world-cup-team-of-the-tournament,CF,Argentina,Ligue 1 Uber Eats,Paris SG,86,93,94,97,37,70
113,Lionel Messi,94,ucl-road-to-the-knockouts,RW,Argentina,Ligue 1 Uber Eats,Paris SG,85,92,94,97,37,69
114,Robert Lewandowski,94,ones-to-watch,ST,Poland,LaLiga Santander,FC Barcelona,81,94,83,89,49,86
115,Ronaldo,94,icon,ST,Brazil,Icons,Icons,93,93,80,93,46,80
116,Zinedine Zidane,94,icon,CAM,France,Icons,Icons,82,90,93,92,72,83
117,Amahl Pellegrino,93,team-of-the-season,LW,Norway,Eliteserien,FK Bodø/Glimt,99,94,90,94,63,82
118,Roberto Firmino,93,premium-squad-building-challenge,CF,Brazil,Premier League,Liverpool,90,93,88,95,71,85
119,Federico Chiesa,93,team-of-the-season-moments,LW,Italy,Serie A TIM,Juventus,99,92,92,95,60,86
120,Mehdi Taremi,93,team-of-the-season,ST,Iran,Liga Portugal,FC Porto,93,94,86,93,48,87
121,Ángel Di María,93,team-of-the-season-moments,CF,Argentina,Serie A TIM,Juventus,93,90,92,95,56,80
122,Bremer,93,team-of-the-season,CB,Brazil,Serie A TIM,Juventus,90,60,71,77,96,91
123,Gonzalo Montiel,93,showdown-plus,RB,Argentina,LaLiga Santander,Sevilla FC,93,72,85,88,89,92
124,Enner Valencia,93,team-of-the-season,ST,Ecuador,Süper Lig,Fenerbahçe,99,91,83,91,63,93
125,Nuno Mendes,93,team-of-the-season,LWB,Portugal,Ligue 1 Uber Eats,Paris SG,99,74,88,92,87,88
126,Jonathan Clauss,93,team-of-the-season,RWB,France,Ligue 1 Uber Eats,OM,98,83,89,91,87,88
127,Thiago Almada,93,team-of-the-season,CAM,Argentina,Major League Soccer,Atlanta United,94,90,90,94,69,78
128,Merino,93,team-of-the-season,CM,Spain,LaLiga Santander,Real Sociedad,87,82,93,92,92,93
129,Marcos Llorente,93,team-of-the-season-moments,RM,Spain,LaLiga Santander,Atlético de Madrid,95,87,90,91,90,89
130,Jules Koundé,93,team-of-the-season,CB,France,LaLiga Santander,FC Barcelona,92,53,78,84,94,89
131,Balde,93,team-of-the-season,LB,Spain,LaLiga Santander,FC Barcelona,96,65,90,95,88,83
132,Federico Valverde,93,team-of-the-season,CM,Uruguay,LaLiga Santander,Real Madrid,94,85,91,92,89,91
133,Anderson Talisca,93,team-of-the-season,CAM,Brazil,Rest of World,Al Nassr,91,95,90,95,64,87
134,Serge Gnabry,93,team-of-the-season-moments,RM,Germany,Bundesliga,FC Bayern München,94,91,89,94,50,80
135,Marco Reus,93,team-of-the-season-moments,LW,Germany,Bundesliga,Borussia Dortmund,95,90,90,93,65,83
136,Julian Brandt,93,team-of-the-season,CM,Germany,Bundesliga,Borussia Dortmund,86,90,93,96,60,80
137,Karim Benzema,93,domestic-man-of-the-match,CF,France,LaLiga Santander,Real Madrid,83,92,85,89,41,81
138,Bukayo Saka,93,team-of-the-season,RW,England,Premier League,Arsenal,96,90,90,93,76,82
139,Gabriel Martinelli,93,team-of-the-season,LW,Brazil,Premier League,Arsenal,98,87,86,96,68,87
140,Bruno Guimarães,93,team-of-the-season,CM,Brazil,Premier League,Newcastle Utd,85,85,92,93,90,92
141,Rodrygo,93,team-of-the-season,RW,Brazil,LaLiga Santander,Real Madrid,98,89,84,95,45,70
142,Xavi Simons,93,team-of-the-season,CAM,Netherlands,Eredivisie,PSV,95,90,91,96,80,85
143,Kingsley Coman,93,team-of-the-season,LM,France,Bundesliga,FC Bayern München,97,90,88,93,37,75
144,Gabriel Jesus,93,team-of-the-season,ST,Brazil,Premier League,Arsenal,94,92,85,96,50,86
145,Raúl,93,special-item,CF,Spain,Icons,Icons,90,93,84,91,48,79
146,Frank Lampard,93,special-item,CM,England,Icons,Icons,82,92,90,87,77,84
147,Laurent Blanc,93,special-item,CB,France,Icons,Icons,82,71,73,82,94,90
148,Patrick Vieira,93,special-item,CM,France,Icons,Icons,85,82,84,87,92,93
149,Mesut Özil,93,premium-squad-building-challenge,CAM,Germany,Süper Lig,Başakşehir,85,84,94,93,36,77
150,Dennis Bergkamp,93,special-item,CF,Netherlands,Icons,Icons,86,93,87,91,38,80
151,Roy Keane,93,special-item,CM,Republic of Ireland,Icons,Icons,83,74,88,87,93,93
152,Philipp Lahm,93,special-item,RB,Germany,Icons,Icons,89,74,90,89,93,76
153,Miroslav Klose,93,special-item,ST,Germany,Icons,Icons,90,90,78,85,43,82
154,Kaká,93,fut-birthday-icon,CAM,Brazil,Icons,Icons,92,88,90,94,46,75
155,Patrick Kluivert,93,fut-birthday-icon,ST,Netherlands,Icons,Icons,90,90,81,85,43,84
156,Rivaldo,93,fut-birthday-icon,LW,Brazil,Icons,Icons,90,92,89,93,45,79
157,Jairzinho,93,fut-birthday-icon,RW,Brazil,Icons,Icons,94,92,88,93,52,77
158,Bernardo Silva,93,fut-birthday,CAM,Portugal,Premier League,Manchester City,86,84,90,97,69,76
159,Kylian Mbappé,93,potm-ligue-1,ST,France,Ligue 1 Uber Eats,Paris SG,98,91,85,94,39,80
160,Jean-Pierre Papin,93,fut-fantasy-hero,ST,France,Ligue 1 Uber Eats,HERO,88,97,77,88,49,81
161,Rúben Dias,93,fantasy-fut,CB,Portugal,Premier League,Manchester City,85,44,77,79,94,94
162,Mohamed Salah,93,team-of-the-week,RW,Egypt,Premier League,Liverpool,93,92,86,93,51,80
163,Abedi Pelé,93,fut-fantasy-hero,CAM,Ghana,Ligue 1 Uber Eats,HERO,95,87,91,95,53,70
164,Kevin De Bruyne,93,team-of-the-week,CM,Belgium,Premier League,Manchester City,77,90,95,89,68,80
165,Sadio Mané,93,flashback-player-sbc,LW,Senegal,Bundesliga,FC Bayern München,94,88,86,92,49,83
166,Gareth Bale,93,premium-squad-building-challenge,RW,Wales,Major League Soccer,LAFC,91,93,92,90,72,86
167,Hugo Sánchez,93,toty-icon,ST,Mexico,Icons,Icons,93,94,84,92,45,78
168,Andrea Pirlo,93,toty-icon,CM,Italy,Icons,Icons,82,84,96,93,75,75
169,Javier Zanetti,93,toty-icon,RB,Argentina,Icons,Icons,90,66,90,86,90,84
170,Mohamed Salah,93,fut-centurions,RW,Egypt,Premier League,Liverpool,93,92,87,93,51,80
171,Xavi,93,icon,CM,Spain,Icons,Icons,81,80,95,93,72,72
172,Thierry Henry,93,icon,ST,France,Icons,Icons,94,91,83,90,53,80
173,Ruud Gullit,93,icon,CF,Netherlands,Icons,Icons,86,91,91,89,82,90
174,Roberto Baggio,93,icon,CAM,Italy,Icons,Icons,86,84,92,92,40,61
175,Marco van Basten,93,icon,ST,Netherlands,Icons,Icons,83,94,76,89,39,75
176,Lothar Matthäus,93,icon,CM,Germany,Icons,Icons,89,89,90,82,90,85
177,George Best,93,icon,RW,Northern Ireland,Icons,Icons,93,91,84,94,58,71
178,Franco Baresi,93,icon,CB,Italy,Icons,Icons,70,49,76,72,95,82
179,Eusébio,93,icon,CF,Portugal,Icons,Icons,94,94,86,93,45,79
180,Eric Cantona,93,icon,CF,France,Icons,Icons,89,93,90,93,53,92
181,Carlos Alberto,93,icon,RB,Brazil,Icons,Icons,90,66,81,86,90,87
182,Kevin De Bruyne,93,winter-wildcards,CM,Belgium,Premier League,Manchester City,77,90,95,90,67,99
183,Garrincha,93,world-cup-icon,RW,Brazil,Icons,Icons,90,87,93,95,41,68
184,Kylian Mbappé,93,road-to-world-cup,ST,France,Ligue 1 Uber Eats,Paris SG,98,91,84,94,39,80
185,Jonas Hector,92,premium-squad-building-challenge,LB,Germany,Bundesliga,1. FC Köln,90,85,88,86,92,89
186,Craig Goodwin,92,team-of-the-season,LM,Australia,A-League,Adelaide United,98,88,88,94,78,92
187,James Milner,92,premium-squad-building-challenge,CM,England,Premier League,Liverpool,85,83,93,90,91,90
188,Lucas Paquetá,92,showdown-plus,CAM,Brazil,Premier League,West Ham,87,90,92,95,84,90
189,Thiago Silva,92,a9pu530,ST,Brazil,Premier League,Chelsea,92,96,86,90,73,90
190,Sergej Milinković-Savić,92,team-of-the-season,CM,Serbia,Serie A TIM,Latium,83,89,91,92,85,93
191,Houssem Aouar,92,flashback-player-sbc,CM,Algeria,Ligue 1 Uber Eats,OL,87,88,93,94,85,87
192,Grimaldo,92,team-of-the-season,LB,Spain,Liga Portugal,SL Benfica,99,75,92,93,88,85
193,João Mário,92,team-of-the-season,RM,Portugal,Liga Portugal,SL Benfica,90,90,90,92,83,82
194,Joaquín Correa,92,showdown,CF,Argentina,Serie A TIM,Inter,92,90,90,93,48,86
195,Fikayo Tomori,92,team-of-the-season-moments,CB,England,Serie A TIM,Milan,92,48,70,76,92,90
196,Giovanni Di Lorenzo,92,team-of-the-season,RB,Italy,Serie A TIM,Napoli,97,78,86,87,90,91
197,Sandro Tonali,92,team-of-the-season,CM,Italy,Serie A TIM,Milan,90,85,91,90,90,92
198,Romelu Lukaku,92,team-of-the-season-moments,ST,Belgium,Serie A TIM,Inter,93,94,85,90,45,92
199,Fabio Borini,92,team-of-the-season,LW,Italy,Süper Lig,Karagümrük SK,95,91,94,94,62,85
200,Mauro Icardi,92,team-of-the-season,ST,Argentina,Süper Lig,Galatasaray,92,94,90,91,48,86
201,Stephy Mavididi,92,team-of-the-season-moments,LM,England,Ligue 1 Uber Eats,Montpellier,97,92,86,92,45,86
202,Renato Sanches,92,team-of-the-season-moments,CM,Portugal,Ligue 1 Uber Eats,Paris SG,93,90,90,95,86,95
203,Seko Fofana,92,team-of-the-season,CM,Ivory Coast,Ligue 1 Uber Eats,RC Lens,88,82,87,90,90,98
204,Moussa Sissoko,92,team-of-the-season-moments,CDM,France,Ligue 1 Uber Eats,FC Nantes,90,66,86,91,90,95
205,Carlos Vela,92,team-of-the-season,RW,Mexico,Major League Soccer,LAFC,95,90,90,94,44,82
206,Nahuel Molina,92,team-of-the-season,RB,Argentina,LaLiga Santander,Atlético de Madrid,95,82,86,91,89,89
207,Javi Galán,92,team-of-the-season-moments,LB,Spain,LaLiga Santander,RC Celta,94,66,89,93,86,89
208,Gabri Veiga,92,team-of-the-season,CM,Spain,LaLiga Santander,RC Celta,92,90,91,94,76,88
209,Raphinha,92,team-of-the-season,RW,Brazil,LaLiga Santander,FC Barcelona,98,88,86,94,62,85
210,Vincenzo Grifo,92,team-of-the-season,LM,Italy,Bundesliga,SC Freiburg,93,90,91,92,77,86
211,Niclas Füllkrug,92,team-of-the-season,ST,Germany,Bundesliga,SV Werder Bremen,87,94,82,91,50,91
212,Randal Kolo Muani,92,team-of-the-season,ST,France,Bundesliga,Frankfurt,95,90,87,94,51,78
213,Jeremie Frimpong,92,team-of-the-season,RWB,Netherlands,Bundesliga,Leverkusen,99,75,87,97,86,85
214,Alphonso Davies,92,team-of-the-season,LB,Canada,Bundesliga,FC Bayern München,99,76,90,92,84,86
215,Aymeric Laporte,92,flashback-player-sbc,CB,Spain,Premier League,Manchester City,86,56,78,77,93,90
216,Nathan Tella,92,team-of-the-season,RM,England,EFL Championship,Burnley,95,86,90,93,59,80
217,João Pedro,92,team-of-the-season,ST,Brazil,EFL Championship,Watford,96,90,82,93,45,80
218,Kai Havertz,92,flashback-player-sbc,CAM,Germany,Premier League,Chelsea,92,90,88,93,52,86
219,Kaoru Mitoma,92,team-of-the-season,LW,Japan,Premier League,Brighton,97,88,88,94,76,83
220,Oleksandr Zinchenko,92,team-of-the-season,LB,Ukraine,Premier League,Arsenal,91,82,92,92,88,83
221,Kieran Trippier,92,team-of-the-season,RB,England,Premier League,Newcastle Utd,90,73,93,87,87,81
222,William Saliba,92,team-of-the-season,CB,France,Premier League,Arsenal,87,53,81,85,92,91
223,Martin Ødegaard,92,team-of-the-season,CM,Norway,Premier League,Arsenal,90,87,94,91,70,72
224,Ismaël Bennacer,92,team-of-the-season,CM,Algeria,Serie A TIM,Milan,88,81,91,96,89,88
225,Andrew Robertson,92,team-of-the-season,LB,Scotland,Premier League,Liverpool,93,67,88,89,90,87
226,Dušan Tadić,92,team-of-the-season,CF,Serbia,Eredivisie,Ajax,90,93,94,92,50,87
227,Ronald Araujo,92,team-of-the-season-moments,CB,Uruguay,LaLiga Santander,FC Barcelona,88,60,77,77,92,92
228,Jesús Navas,92,flashback-player-sbc,RB,Spain,LaLiga Santander,Sevilla FC,94,76,90,92,89,85
229,İlkay Gündoğan,92,showdown-plus,CM,Germany,Premier League,Manchester City,87,88,92,92,83,85
230,Tammy Abraham,92,uefa-europa-league-road-to-the-final,ST,England,Serie A TIM,Roma FC,94,92,78,91,46,90
231,Diego Forlán,92,league-player,ST,Uruguay,LaLiga Santander,HERO,92,95,84,91,59,82
232,Philipp Lahm,92,special-item,RB,Germany,Icons,Icons,88,73,88,88,91,74
233,Roberto Carlos,92,special-item,LB,Brazil,Icons,Icons,93,84,85,81,86,86
234,Rio Ferdinand,92,special-item,CB,England,Icons,Icons,85,50,68,70,93,89
235,Robert Lewandowski,92,team-of-the-week,ST,Poland,LaLiga Santander,FC Barcelona,77,92,80,87,45,85
236,Karim Benzema,92,team-of-the-week,CF,France,LaLiga Santander,Real Madrid,81,90,84,88,40,80
237,Gennaro Gattuso,92,fut-birthday-icon,CDM,Italy,Icons,Icons,80,67,80,82,92,90
238,Vinícius Jr.,92,fut-birthday,LW,Brazil,LaLiga Santander,Real Madrid,99,87,84,94,35,77
239,Juan Sebastián Verón,92,fut-birthday-icon,CM,Argentina,Icons,Icons,81,87,92,90,81,86
240,Marcel Desailly,92,fut-birthday-icon,CB,France,Icons,Icons,84,53,67,68,92,92
241,Wayne Rooney,92,fut-birthday-icon,ST,England,Icons,Icons,90,93,85,90,56,90
242,N'Golo Kanté,92,fut-birthday,CDM,France,Premier League,Chelsea,81,76,83,86,91,86
243,Alan Shearer,92,fut-birthday-icon,ST,England,Icons,Icons,89,94,82,87,53,87
244,Ronald Koeman,92,fut-birthday-icon,CB,Netherlands,Icons,Icons,80,89,90,81,91,87
245,Ian Rush,92,fut-birthday-icon,ST,Wales,Icons,Icons,87,93,74,88,46,83
246,Fernando Morientes,92,fut-fantasy-hero,ST,Spain,LaLiga Santander,HERO,88,94,81,86,49,89
247,Diogo Jota,92,fantasy-fut,CF,Portugal,Premier League,Liverpool,92,90,83,92,64,85
248,Casemiro,92,domestic-man-of-the-match,CDM,Brazil,Premier League,Manchester Utd,68,77,80,76,90,93
249,David Ginola,92,fut-fantasy-hero,ST,France,Ligue 1 Uber Eats,HERO,93,91,90,94,59,87
250,Alexander Isak,92,fantasy-fut,ST,Sweden,Premier League,Newcastle Utd,95,91,80,95,41,83
251,Lionel Messi,92,team-of-the-week,ST,Argentina,Ligue 1 Uber Eats,Paris SG,83,90,91,95,35,66
252,Nicolò Barella,92,uefa-champions-league-road-to-the-final,CM,Italy,Serie A TIM,Inter,85,85,92,90,88,88
253,David Alaba,92,uefa-champions-league-road-to-the-final,CB,Austria,LaLiga Santander,Real Madrid,86,78,91,89,93,89
254,Leon Goretzka,92,uefa-champions-league-road-to-the-final,CM,Germany,Bundesliga,FC Bayern München,85,87,88,88,87,91
255,Jamal Musiala,92,fut-future-stars,CAM,Germany,Bundesliga,FC Bayern München,87,84,86,94,75,75
256,Julián Álvarez,92,fut-future-stars,ST,Argentina,Premier League,Manchester City,90,91,86,90,60,81
257,Harry Kane,92,toty-honourable-mentions,ST,England,Premier League,Spurs,86,95,88,87,49,88
258,Kylian Mbappé,92,potm-ligue-1,ST,France,Ligue 1 Uber Eats,Paris SG,98,90,83,93,37,77
259,Claude Makélélé,92,toty-icon,CDM,France,Icons,Icons,85,52,83,83,90,89
260,Robert Pirès,92,toty-icon,LM,France,Icons,Icons,90,86,89,92,41,70
261,Jairzinho,92,icon,RW,Brazil,Icons,Icons,94,92,87,93,51,76
262,Samuel Eto'o,92,icon,ST,Cameroon,Icons,Icons,95,93,81,90,47,83
263,Ruud van Nistelrooy,92,icon,ST,Netherlands,Icons,Icons,86,91,74,85,37,82
264,Rivaldo,92,icon,LW,Brazil,Icons,Icons,87,91,88,92,44,78
265,Raúl,92,icon,CF,Spain,Icons,Icons,88,92,82,90,47,75
